Serial Number,Station Name,Station Id,Network,Elevation(meter),Latitude,Longitude,Wind Speed(m/s),Air Temperature(C),Start Date,Precipitation for 1 day,Precipitation for 2 days,Precipitation for 3 days,Precipitation for 4 days,Precipitation for 5 days,sm_2,sm_4,sm_8,sm_20,sm_40,st_2,st_4,st_8,st_20,st_40
23,Cascade Mountain,1039,SNTL,2369.5152000000003,40.283,-111.60992,-999999,5.1111111111111125,2017-09-20 00:00:00,2.5399999999998553,5.079999999999892,5.079999999999892,5.079999999999892,30.47999999999989,0.043,-999999,0.10800000000000001,0.057,-999999,9.44,-999999,9.44,9.44,-999999
24,Castle Valley,390,SNTL,2928.2136,37.66098,-112.74093,-999999,6.7777777777777795,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,2.5399999999998553,0.14800000000000002,-999999,0.23,0.312,-999999,9.44,-999999,9.44,9.44,-999999
25,Chalk Creek #1,392,SNTL,2795.3208,40.85464,-111.04765,-999999,-1.3888888888888888,2017-09-20 00:00:00,22.859999999999964,22.859999999999964,22.859999999999964,25.4,60.95999999999996,0.37,-999999,0.374,0.27399999999999997,-999999,3.89,-999999,6.67,8.33,-999999
26,Chalk Creek #2,393,SNTL,2501.7984,40.88529,-111.06954,-999999,1.6111111111111103,2017-09-20 00:00:00,25.4,25.4,25.4,25.4,66.04000000000003,0.215,-999999,0.253,0.012,-999999,3.89,-999999,6.67,8.33,-999999
27,Chepeta,396,SNTL,3200.0952,40.77458,-110.0105,-999999,-0.22222222222222143,2017-09-20 00:00:00,0.0,0.0,0.0,2.540000000000036,5.079999999999981,0.079,-999999,0.067,0.126,-999999,3.89,-999999,6.11,7.22,-999999
28,Clayton Springs,983,SNTL,3062.9352000000003,37.9725,-111.83355,-999999,5.611111111111112,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,2.540000000000036,0.17800000000000002,-999999,0.175,0.105,-999999,6.11,-999999,9.44,9.44,-999999
29,Clear Creek #1,399,SNTL,2735.58,39.86671,-111.28363,-999999,1.6111111111111103,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,22.859999999999964,0.188,-999999,0.065,0.09,-999999,6.11,-999999,8.33,10.0,-999999
30,Clear Creek #2,400,SNTL,2388.7176,39.89275,-111.25154,-999999,0.2777777777777778,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,17.77999999999998,0.105,-999999,0.14,0.043,-999999,7.22,-999999,9.44,10.0,-999999
31,Corral,1236,SNTL,2501.4936000000002,39.65795,-110.37906,-999999,3.7777777777777763,2017-09-20 00:00:00,0.0,0.0,0.0,2.539999999999946,10.159999999999963,0.258,-999999,0.146,0.146,-999999,8.33,-999999,10.0,10.56,-999999
32,Currant Creek,432,SNTL,2412.492,40.35747,-111.08993,-999999,-1.722222222222223,2017-09-20 00:00:00,5.079999999999981,5.079999999999981,5.079999999999981,5.079999999999981,17.77999999999998,0.138,-999999,0.034,0.09699999999999999,-999999,7.22,-999999,10.0,11.67,-999999
33,Daniels-Strawberry,435,SNTL,2440.8384,40.2953,-111.25677,0.715264,-0.3888888888888885,2017-09-20 00:00:00,5.079999999999892,5.079999999999892,5.079999999999892,7.619999999999927,27.940000000000033,0.129,-999999,0.066,0.043,-999999,6.67,-999999,8.89,11.11,-999999
34,Dills Camp,444,SNTL,2812.6944000000003,39.04554,-111.46875,-999999,6.888888888888888,2017-09-20 00:00:00,0.0,0.0,0.0,2.5399999999998553,25.4,0.126,-999999,0.264,0.172,-999999,7.22,-999999,8.33,7.78,-999999
35,Donkey Reservoir,452,SNTL,2986.7352,38.2084,-111.47412,-999999,7.6111111111111125,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,5.079999999999981,0.314,-999999,0.12,0.105,-999999,6.11,-999999,8.33,7.78,-999999
36,Dry Bread Pond,455,SNTL,2530.4496,41.41289,-111.5377,-999999,0.11111111111111269,2017-09-20 00:00:00,25.4,35.55999999999996,35.55999999999996,35.55999999999996,53.34000000000003,0.245,-999999,0.085,0.0,-999999,2.22,-999999,7.22,8.33,-999999
37,Dry Fork,906,SNTL,2161.9464000000003,40.56533,-112.17343,-999999,1.722222222222223,2017-09-20 00:00:00,10.159999999999963,10.159999999999963,10.159999999999963,10.159999999999963,35.55999999999996,0.184,-999999,0.059000000000000004,0.0,-999999,9.44,-999999,10.0,10.56,-999999
38,East Willow Creek,461,SNTL,2530.4496,39.31213,-109.53179,-999999,2.1111111111111094,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,7.620000000000018,0.114,-999999,0.08,0.07400000000000001,-999999,9.44,-999999,11.67,12.22,-999999
39,EF Blacks Fork GS,1163,SNTL,2852.9280000000003,40.88472,-110.54056,-999999,0.8888888888888897,2017-09-20 00:00:00,10.159999999999963,10.159999999999963,10.159999999999963,15.240000000000036,22.859999999999964,0.387,-999999,0.368,0.397,-999999,6.67,-999999,8.33,9.44,-999999
40,Farmington,474,SNTL,2408.5296000000003,40.97462,-111.80975,-999999,1.1111111111111112,2017-09-20 00:00:00,12.7,15.239999999999855,15.239999999999855,15.239999999999855,45.71999999999993,0.204,-999999,0.076,0.055999999999999994,-999999,5.56,-999999,6.67,9.44,-999999
41,Farmington Lower,1054,SNTL,2066.2392,40.992,-111.81702,-999999,1.1111111111111112,2017-09-20 00:00:00,15.240000000000036,17.77999999999989,17.77999999999989,17.77999999999989,43.179999999999886,0.245,-999999,0.10800000000000001,0.10800000000000001,-999999,6.11,-999999,8.89,10.0,-999999
42,Farnsworth Lake,475,SNTL,2933.0904,38.77246,-111.67662,-999999,4.500000000000001,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,15.240000000000036,0.317,-999999,0.271,0.349,-999999,5.56,-999999,7.22,7.78,-999999
43,Fish Lake Utah,1149,SNTL,2681.6304,38.50455,-111.76693,-999999,4.500000000000001,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,5.080000000000072,0.204,-999999,0.21899999999999997,0.03,-999999,7.78,-999999,11.11,11.11,-999999
44,Five Points Lake,481,SNTL,3335.4264000000003,40.71785,-110.46721,-999999,1.722222222222223,2017-09-20 00:00:00,2.540000000000036,2.540000000000036,2.540000000000036,2.540000000000036,10.160000000000144,0.11699999999999999,-999999,0.249,0.306,-999999,4.44,-999999,5.56,6.67,-999999
45,Garden City Summit,1114,SNTL,2348.484,41.9215,-111.4693,-999999,-1.7777777777777775,2017-09-20 00:00:00,20.320000000000107,35.560000000000144,35.560000000000144,38.099999999999994,48.26000000000014,0.218,-999999,0.11800000000000001,0.151,-999999,3.33,-999999,7.78,8.89,-999999
