"","snow.LONGITUDE","snow.LATITUDE","snow.ELEVATION","snow.YRS","snow.HUC","snow.TD","snow.FFP","snow.MCMT","snow.MWMT","snow.PPTWT","snow.RH","snow.MAT","model$prediction"
"27",-111.664,37.08,1250,16,14070006,27.6000003814697,186,0.100000001490116,27.7000007629395,34,51,13.8000001907349,0.782
"28",-111.533,39.867,1747,12,16020202,25.7999992370605,99,-5.80000019073486,19.8999996185303,119,44,6.90000009536743,3.462375
"29",-108.517,41.583,2048,14,14040105,26.2999992370605,86,-7.30000019073486,19,21,47,5.30000019073486,2.54358333333333
"30",-111.6,38.68,2884,37,14070003,20.7999992370605,44,-6.90000009536743,13.8999996185303,150,48,2.5,9.15793333333333
"31",-112.953,38.708,1494,38,16030007,26.8999996185303,134,-3.29999995231628,23.6000003814697,40,45,9.69999980926514,1.32391304347826
"32",-109.481,37.615,1841,28,14080201,26.3999996185303,152,-3.20000004768372,23.1000003814697,83,52,9.89999961853027,1.47084375
"33",-112.865,37.596,3260,35,16030006,19.6000003814697,66,-7.40000009536743,12.3000001907349,253,60,1.39999997615814,9.15793333333333
"34",-109.558,37.283,1316,33,14080201,28.1000003814697,175,-1.60000002384186,26.5,53,49,12.6000003814697,0.782
"35",-109.183,40.017,1661,15,14050007,31.2999992370605,150,-7.5,23.8999996185303,33,51,8.80000019073486,1.50295652173913
"36",-107.898,39.102,3002,25,14010005,21.7000007629395,57,-8.39999961853027,13.3000001907349,249,54,1.5,7.5469375
"37",-111.033,42.25,1865,24,16010102,26.2000007629395,70,-9,17.2000007629395,102,47,3.79999995231628,2.54358333333333
"38",-114.19,42.16,2286,36,17040212,23.8999996185303,86,-6.69999980926514,17.2000007629395,260,59,4.19999980926514,9.64516666666667
"39",-111.42,37.905,2036,40,14070005,24.5,137,-3.09999990463257,21.3999996185303,58,52,8.69999980926514,8.85911428571429
"40",-111.89,40.854,1384,32,16020204,26.7000007629395,173,-2.20000004768372,24.5,125,58,10.5,1.14695833333333
