"","sm_8","elev","wind","p1day","p2day","p3day","p4day","p5day","slope","aspect","long","lat","prediction","resid","cv_predictions","cv_resid"
"11",0.242,2840.4312,-999999,0,0,0,2.54000000000004,27.94,1.94972475674023,346.637584893566,-112.15349,38.94569,0.265379934021801,-0.0233799340218015,0.268625506247124,-0.0266255062471239
"12",0.216,3003.1944,-999999,0,2.54000000000004,2.54000000000004,2.54000000000004,10.1600000000001,2.21813090579515,43.3471890202911,-112.01856,38.50809,0.215965293040293,3.47069597069483e-05,0.221215000932401,-0.0052150009324009
"13",0.069,2812.6944,-999999,0,0,0,0,10.16,4.87937267194988,162.944180457569,-112.00779,38.49746,0.204698798938861,-0.135698798938861,0.196683229928307,-0.127683229928307
"14",0.098,3059.8872,-999999,2.53999999999986,2.53999999999986,2.53999999999986,2.53999999999986,2.53999999999986,5.64090687987951,308.348252402824,-112.85674,37.67994,0.176012425354144,-0.0780124253541436,0.176216584413919,-0.0782165844139193
"15",0.028,2671.8768,-999999,0,5.07999999999989,5.07999999999989,17.7799999999999,40.64,7.03421999512963,311.67617759705,-111.58167,40.59936,0.206400364298725,-0.178400364298725,0.217521928571429,-0.189521928571429
"16",0.118,3222.9552,-999999,5.07999999999989,5.07999999999989,5.07999999999989,7.61999999999993,17.7799999999999,7.77482044050159,344.409734913822,-110.58587,40.58102,0.199967753623188,-0.0819677536231884,0.2070334,-0.0890334
"17",0.371,2867.8632,-999999,0,0,0,0,25.4,3.00648372765199,81.6603841663929,-111.43722,39.134,0.224572128236092,0.146427871763908,0.23579276988012,0.13520723011988
"18",0.42,2935.8336,-999999,15.24,15.24,15.24,17.7799999999999,35.56,3.1130633608834,60.6185438404762,-110.66068,40.84456,0.203103703703704,0.216896296296296,0.171264033333333,0.248735966666667
"19",0.247,2720.0352,-999999,0,0,0,0,0,13.5188523980677,324.871550650295,-109.44717,37.86943,0.127608121936647,0.119391878063353,0.137864516965686,0.109135483034314
"20",0.178,2434.4376,-999999,17.7800000000001,33.0200000000001,33.0200000000001,33.0200000000001,43.1800000000001,5.56619152056253,12.4508337682386,-111.41987,41.68541,0.185762571428571,-0.00776257142857142,0.1817117,-0.00371169999999962
"21",0.297,2438.4,-999999,12.7,12.7,12.7,17.78,30.48,3.51628368823857,61.2484362358849,-110.85075,40.98492,0.154047442680776,0.142952557319224,0.1599128,0.1370872
"22",0.084,2699.9184,-999999,0,0,0,0,0,8.62502901907163,299.286458402785,-109.48723,37.81333,0.172274727160206,-0.0882747271602061,0.178540007773984,-0.0945400077739843
"23",0.108,2369.5152,-999999,2.53999999999986,5.07999999999989,5.07999999999989,5.07999999999989,30.4799999999999,10.4474712202808,22.4343331424714,-111.60992,40.283,0.112119472789116,-0.00411947278911566,0.116183,-0.00818299999999998
"24",0.23,2928.2136,-999999,0,0,0,0,2.53999999999986,3.71745818333276,120.763736352483,-112.74093,37.66098,0.172761647851463,0.0572383521485373,0.182053897309259,0.0479461026907406
"25",0.374,2795.3208,-999999,22.86,22.86,22.86,25.4,60.96,5.73211452941711,3.63729908186658,-111.04765,40.85464,0.234475774134791,0.139524225865209,0.2271853,0.1468147
"26",0.253,2501.7984,-999999,25.4,25.4,25.4,25.4,66.04,9.06713119727078,351.49338610772,-111.06954,40.88529,0.195201724137931,0.057798275862069,0.1891711,0.0638289000000002
"27",0.067,3200.0952,-999999,0,0,0,2.54000000000004,5.07999999999998,4.81420295707537,72.1221681040476,-110.0105,40.77458,0.185367203568037,-0.118367203568037,0.183264919623372,-0.116264919623372
"28",0.175,3062.9352,-999999,0,0,0,0,2.54000000000004,1.99267903516622,73.5173214908421,-111.83355,37.9725,0.168777115248544,0.00622288475145616,0.171294723920822,0.00370527607917776
"29",0.065,2735.58,-999999,0,0,0,0,22.86,7.46890519094466,329.635248672174,-111.28363,39.86671,0.235358041605567,-0.170358041605567,0.217998762914365,-0.152998762914365
"30",0.14,2388.7176,-999999,0,0,0,0,17.78,10.4026074470857,352.289177508806,-111.25154,39.89275,0.175609236302418,-0.0356092363024181,0.173291769817716,-0.0332917698177159
"31",0.146,2501.4936,-999999,0,0,0,2.53999999999995,10.16,9.07746463032776,264.066244448243,-110.37906,39.65795,0.126145669593088,0.0198543304069119,0.125638416716617,0.0203615832833831
"32",0.034,2412.492,-999999,5.07999999999998,5.07999999999998,5.07999999999998,5.07999999999998,17.78,9.9111343996748,150.210266073295,-111.08993,40.35747,0.0779547892720306,-0.0439547892720306,0.0866768666666666,-0.0526768666666666
"33",0.066,2440.8384,0.715264,5.07999999999989,5.07999999999989,5.07999999999989,7.61999999999993,27.94,5.3148290508557,95.5402282646529,-111.25677,40.2953,0.151059222919937,-0.0850592229199372,0.164018866666667,-0.0980188666666665
"34",0.264,2812.6944,-999999,0,0,0,2.53999999999986,25.4,6.51346322891606,99.1879523938997,-111.46875,39.04554,0.229937305039458,0.0340626949605419,0.253543947985348,0.0104560520146522
"35",0.12,2986.7352,-999999,0,0,0,0,5.07999999999998,3.00194752199995,106.058467199644,-111.47412,38.2084,0.206579746474075,-0.0865797464740749,0.197220712863933,-0.0772207128639332
"36",0.085,2530.4496,-999999,25.4,35.56,35.56,35.56,53.34,6.20676555932605,217.456914158822,-111.5377,41.41289,0.212827655677656,-0.127827655677656,0.182501333333333,-0.0975013333333333
"37",0.059,2161.9464,-999999,10.16,10.16,10.16,10.16,35.56,11.5651065749375,66.4799663157501,-112.17343,40.56533,0.115009107468124,-0.0560091074681239,0.108209566666667,-0.0492095666666666
"38",0.08,2530.4496,-999999,0,0,0,0,7.62000000000002,9.613890866062,56.6058664010714,-109.53179,39.31213,0.0973027806899088,-0.0173027806899088,0.0902995035054009,-0.0102995035054009
"39",0.368,2852.928,-999999,10.16,10.16,10.16,15.24,22.86,2.47042304675998,96.3358579362003,-110.54056,40.88472,0.211655213675214,0.156344786324786,0.204803266666667,0.163196733333333
"40",0.076,2408.5296,-999999,12.7,15.2399999999999,15.2399999999999,15.2399999999999,45.7199999999999,9.22052582990105,20.4400312376757,-111.80975,40.97462,0.167674193548387,-0.0916741935483871,0.158657366666667,-0.0826573666666666
"41",0.108,2066.2392,-999999,15.24,17.7799999999999,17.7799999999999,17.7799999999999,43.1799999999999,6.74311437142809,238.672445512467,-111.81702,40.992,0.12215,-0.01415,0.109666066666667,-0.00166606666666658
"42",0.271,2933.0904,-999999,0,0,0,0,15.24,6.94305472413573,350.521930432168,-111.67662,38.77246,0.196913875375325,0.0740861246246751,0.201103601360832,0.0698963986391675
"43",0.219,2681.6304,-999999,0,0,0,0,5.08000000000007,2.9719302507419,100.63829717044,-111.76693,38.50455,0.158723260663956,0.0602767393360443,0.172623548972593,0.0463764510274075
"44",0.249,3335.4264,-999999,2.54000000000004,2.54000000000004,2.54000000000004,2.54000000000004,10.1600000000001,3.11339451730435,142.841714644444,-110.46721,40.71785,0.257925304878049,-0.00892530487804877,0.241783533333333,0.00721646666666745
"45",0.118,2348.484,-999999,20.3200000000001,35.5600000000001,35.5600000000001,38.1,48.2600000000001,5.52378140066952,344.247917842098,-111.4693,41.9215,0.173786363636364,-0.0557863636363636,0.182478788888889,-0.0644787888888889
"46",0.076,2536.5456,-999999,0,0,0,0,0,10.4066182110862,281.194479111336,-113.45988,37.40083,0.159455786739165,-0.0834557867391648,0.165670706142283,-0.0896707061422826
"47",0.295,2682.5448,-999999,0,0,0,2.54000000000004,17.7800000000001,3.27371307234282,314.76923237636,-111.48827,39.32019,0.188909413399118,0.106090586600882,0.178866472571872,0.116133527428128
"48",0.268,3004.7184,-999999,0,0,0,5.07999999999989,25.4,5.73513096193427,295.049841445064,-111.45383,39.30229,0.237581612318841,0.0304183876811595,0.246625795394053,0.0213742046059474
"49",0.111,2732.2272,-999999,2.54000000000004,5.08000000000007,5.08000000000007,5.08000000000007,10.1600000000001,7.86024447921415,330.983683683026,-113.41154,41.91562,0.136670971177945,-0.0256709711779449,0.138139393939394,-0.0271393939393938
"50",0.277,2421.3312,-999999,0,0,2.54000000000004,2.54000000000004,12.7,4.68528350985944,29.1701262333751,-111.68333,38.80034,0.159441869918699,0.117558130081301,0.149581517323481,0.127418482676519
